CityName,ProvinceCode
Calgary,AB
Edmonton,AB
Red Deer,AB
Lethbridge,AB
Fort McMurray,AB
Medicine Hat,AB
Vancouver,BC
Victoria,BC
Kelowna,BC
Abbotsford,BC
Nanaimo,BC
Surrey,BC
Burnaby,BC
Saskatoon,SK
Regina,SK
Prince Albert,SK
Moose Jaw,SK
Winnipeg,MB
Brandon,MB
Steinbach,MB
Toronto,ON
Ottawa,ON
Mississauga,ON
Brampton,ON
Hamilton,ON
London,ON
Markham,ON
Vaughan,ON
Kitchener,ON
Windsor,ON
Montreal,QC
Quebec City,QC
Laval,QC
Gatineau,QC
Longueuil,QC
Sherbrooke,QC
Saguenay,QC
Levis,QC
Moncton,NB
Saint John,NB
Fredericton,NB
Halifax,NS
Sydney,NS
Truro,NS
Charlottetown,PE
Summerside,PE
St. John's,NL
Mount Pearl,NL
Corner Brook,NL
Whitehorse,YT
Yellowknife,NT
Iqaluit,NU
